question,standard_answer,difficulty,source,tags
證券商前言的內容是什麼？,"「票券保管結算交割系統」之「證券商介面規格書」(以下簡稱介面規格書)係依財政
部「改進我國票券交割支付作業系統」專案小組規劃之業務流程與交割機制，並參
酌臺灣集中保管結算所股份有限公司之業務作業規則編撰而成。本介面規格書適用
於以「主機對主機」與臺灣集中保管結算所股份有限公司連線之證券商。",3,集保公開資料測試,
清算交割銀行瀏覽器工作站使用者手冊的目的是什麼？,"提供清算交割銀行透過瀏覽器簽入使用票劵保管結算交割系統(BCSS)，進行票券交
割、查詢等指令。",3,集保公開資料測試,
清算交割銀行瀏覽器工作站使用者手冊的使用者有哪些？,"2.2 使用者 
1. 帳號管理員：建立及維護清算交割銀行之使用者資料。 
2. 經辦人員：填寫交割指令內容。 
3. 主管人員：負責交割指令輸出前之覆核工作。 ",3,集保公開資料測試,
如果我想更改清算交割銀行工作站密碼有什麼規則？,"2.6.3 操作說明 
1. 新密碼須與舊密碼不同。 
2. 密碼規則為
a. 8到24位英數字 
b. 其中數字至少6位 
c. 其中英文字母至少2位 
d. 相同相連字元不可超過2位 ",4,集保公開資料測試,
在清算交割銀行瀏覽器工作站中要如何新增投資人資料？,"操作說明 
1. 台幣款項帳號與外幣款項帳號不可皆為無資料。 
2. 當有輸入外幣款項帳號時，則必須一併輸入部門別代號，以供央行統計之用。 
3. 有輸入外幣款項帳號時,必須輸入英文帳號名稱。 
4. 其他欄位說明請參閱本公司「票券保管結算交割系統清算交割銀行介面規格」，
文 件 可 至 本 公 司 網 站 http://www.tdcc.com.tw -- ＞ 下 載 專 區 --＞固定收益類--＞BCSS介面規格--＞BCSS介面規格-清算交割銀行",3,集保公開資料測試,
在清算交割銀行瀏覽器工作站中，如果經辦人員欲想要回覆代銷續發取消確認指令，需要做什麼？,"1. 經辦人員欲回覆代銷續發取消確認指令，則點選代銷續發取消指令確認功能，畫面
顯示目前需回覆代銷續發取消之清單，如輸出畫面一。 
2. 點選明細功能，則顯示該筆代銷續發指令內容，如輸出畫面二。 
3. 點選回覆確認(PC)回覆該筆代銷續發取消指令，如輸入畫面一。 ",3,集保公開資料測試,
在清算交割銀行瀏覽器工作站中，要如何進行初級市場交割狀態查詢？,"操作說明 
1. 點選初級市場交割指令狀態查詢，選擇作業類別及查詢方式，譬如:選擇投資人首買
2. 限當日自已所屬的交割指令，輸出資料，如輸出畫面一。 ",4,集保公開資料測試,
請告訴我在清算交割銀行瀏覽器工作站中如何查看庫存餘額明細表,"操作說明 
1. 經辦人員點選庫存餘額明細表功能，選擇欲查詢類別、投資人券戶帳號、幣別，如
輸入畫面一，查詢結果如輸出畫面一。 
2. 若於EOD前查詢，則為系統前一日之庫存餘額明細表資料。",4,集保公開資料測試,
清算交割銀行瀏覽器工作站中誰可以進行固定收益費用月報查詢操作？,"提供清算交割銀行經辦、主管查詢前一個月之各券戶之費用查詢，每個券戶各種幣
別每月一筆「券項部份計算積數」、「帳戶維護費」、「交割服務費–初級市場」及「交割
服務費–次級市場」彙總資料。 ",3,集保公開資料測試,
票券商瀏覽器工作站有什麼硬體需求？,"2.2.1 硬體 
CPU:Intel Pentum以上 
RAM:2G RAM以上 ",3,集保公開資料測試,
票券商瀏覽器工作站的主要視窗是什麼？,"2.5.2 主要視窗 
呈現交割或查詢指令輸入畫面及結果",4,集保公開資料測試,
票券商瀏覽器工作站的登入步驟為何？,"2.6 使用者登入系統 
票券商瀏覽器工作站使用者，包括工作站管理員、經辦、主管與前台查詢人員皆依
下列程序登入票券保管結算交割系統： 
1. 開啟IE瀏覽器，輸入連結網址(例如 http://172.30.244.243。實際網址另行公佈) 
2. 由登入系統輸入畫面輸入參加單位代號、使用者代號、密碼後點選登入。 
3. 若使用者為第一次登入本系統，系統會於登入後出現變更密碼畫面，要求使用
者更換密碼。 
4. 如使用者所屬之參加單位，為需使用憑證IC卡登入者，畫面會自動帶出「憑證
種類」選項。選項包含「經濟部工商憑證」、「證期共用憑證」及「無IC卡登入
（主管人員/前台查詢人員）」，經辦人員請依照所使用之憑證種類，挑選適合之
選項進行登入。 
5. 如使用者身份為「主管人員/前台查詢人員」，請於選項中選取「無IC卡登入（主
管人員）」選項後，逕行登入。",4,集保公開資料測試,
票券商瀏覽器工作站中更改密碼有什麼規則嗎？,"2.7.3 操作說明 
新密碼須與舊密碼不同。 
密碼規則為 
密碼最長使用期限為90天。 
密碼長度最小值為8位，最大值為24位。 
第一次登入系統應變更密碼。 
密碼變更不得重複使用前3次舊密碼。 
密碼最短使用期限為1天。 
密碼內容至少應包含英文大寫字元(A到Z)、英文小寫字元(a到z)、10進位數字
(0 到9)、特殊符號(例如：!、$、#、%)等四項中之三項。 ",4,集保公開資料測試,
票券商瀏覽器工作站中如果密碼輸入錯誤5次的話怎麼辦？,"若使用者輸入密碼錯誤次數達5次，必須先由其參加單位之工作站管理員
將其密碼錯誤次數歸零，方可重新登入。",3,集保公開資料測試,
票券商瀏覽器工作站中的成交單查詢功能可供查詢其他單位資料嗎？,參加單位只能查詢自家之成交單資料。,3,集保公開資料測試,
票券商瀏覽器工作站中，如果我想執行送存取消作業，我要如何得知「系統參考編號」呢？,"「系統參考編號」由BCSS系統產生，票劵商交割經辦人員可於訊息通告查詢所
欲取消送存交割指令訊息中之「系統參考編號」欄位得知。 ",3,集保公開資料測試,
短期票券業務操作辦法第十條內容是什麼？,第 十 條  參加人向本公司申請開設劃撥帳戶或發行登錄帳戶，應檢具開戶申請書、印鑑及相關書件。,3,集保公開資料測試,
票券商包銷或首次買入短期票券的交割作業方式是什麼？,"第三十九條  票券商包銷或首次買入短期票券，其交割作業方式如下： 
一、本公司接獲票券商包銷或首次買入交割通知後，除屬實
券保管銀行內部款項收付或交割款項為零外，即通知中
央銀行業務局或財金公司辦理款項收付。 
二、完成款項收付作業後，將包銷或首次買入之數額撥入票
券商自有部位，並通知實券保管銀行，將發行人、執票
人或持有人應收款項匯撥至其指定入帳銀行款項帳戶。",3,集保公開資料測試,
如果認為票券商送存的債票形式短期票券，其權利有瑕疵或法律上有爭議或發生其他疑義時可以做什麼？,"第八十一條  本公司對票券商送存之債票形式短期票券，認為其權利有瑕
疵或法律上有爭議或發生其他疑義時，得拒絕接受，其於事後發
現者，得通知票券商更換無瑕疵之債票形式短期票券。 ",3,集保公開資料測試,
初級市場結算交割服務費是多少？,"一、初級市場結算交割服務費 
(一)收費方式：按每次票券商承銷/首買、投資人或外國保
管、劃撥或結算機構向發行人買入之面額計收(不含政
府機關發行之短期票券)。 
(二)費率：每年萬分之三．八。 
(三)收費對象：票券商承銷/首買者，向票券商計收，由票
券商向發行人洽收；投資人或外國保管、劃撥或結算機
構向發行人買入者，向發行人計收。 
(四)以新台幣計價之短期票券計算式：每次承銷(首買)面額
×承銷(首買)天期×費率 ÷ 365。 
壹～二～1 
(五)以外幣計價之短期票券計算式：每次承銷(首買)面額×
承銷(首買)天期×費率 ÷ 360。",5,集保公開資料測試,
票券保管之帳戶維護費怎麼計算？,"三、帳戶維護費 
(一)收費方式：按參加人、投資人或外國保管、劃撥或結算
機構之帳簿日終餘額計收（包含自有部位、附條件賣回
部位、出質部位及限制性部位）。 
(二)費率：每年萬分之0.九。 
(三)收費對象：帳戶所有人。 
(四)計算式：日終餘額×費率÷365。",3,集保公開資料測試,
此帳戶維護費多久結算一次？,"第 八 條  第四條所列費用，每月結算一次，本公司應於每月十日前，
按前月各項服務項目計算手續費，並通知各參加人或外國保管、
劃撥或結算機構於當月二十日前，將應繳（代繳）費用存（匯）
入本公司指定專戶。",3,集保公開資料測試,
什麼是固定收益商品？,"第 一 條  本辦法所稱固定收益商品係指公司債、金融債券、屬債權型
之受益證券及資產基礎證券、政府債券、外國人在國內發行之新
台幣債券、國際債券、分割本金及利息債券、本國人或外國人在
國外發行經財團法人中華民國證券櫃檯買賣中心（以下稱櫃買中
心）核准登錄之外幣債券等金融商品。 ",3,集保公開資料測試,
外幣計價的固定收益商品需要收哪些費用？,"第 三 條  本公司對外幣計價之固定收益商品，於每月向參加人計收下
列費用： 
一、依第二條規定計收相關費用。惟屬國外登錄國內券項帳
簿劃撥交付者，不適用第二條第一項第五款第三目後段
規定。 
二、依國外債券保管及帳務處理機構訂定之收費標準計算之
各項費用。 
三、依本公司受託辦理債券送存、領回及轉帳作業，於國內
實際發生之相關費用。 
前項第一款之費用為外幣時，付費者為證交所及櫃買中心者
，另依約定幣別計收外，其餘按本公司指定之外匯銀行前月份每
日外匯匯率收盤價中價之平均值換算為新台幣計收。 
第一項第二款之費用，本公司以外幣計收，第三款之費用，
本公司以新台幣計收。 ",3,集保公開資料測試,
本公司受理登記形式短期票券之發行登錄作業時間是什麼時候？,"第 十 條  本公司受理登記形式短期票券之發行登錄作業時間，為營業
日上午八時三十分起至下午三時止。但發行人申辦日與登記形式
短期票券發行日非屬同一日，且發行登錄作業方式非以第十五條
第一項第二款書面方式辦理者，本公司受理發行登錄作業之截止
時間為下午五時三十分。",3,集保公開資料測試,
若有天然災害侵襲發生時，票券保管結算交割系統是否正常營運？,"第 三 條  天然災害侵襲、公職人員選舉或其他不可抗拒事故之發生時
，本公司之票券保管結算交割系統 (以下簡稱本系統) 是否正常營
運，應以台北市公教機關是否停止辦公為準據，並依下列情況辦
理： 
一、如全天停止辦公時，本系統停止營運。 
二、如上午照常辦公，下午停止辦公時，本系統應完成當日
所有交割作業後，始得結束當日之營運。 
三、如上午停止辦公，下午照常辦公時，本系統於當日下午
一時三十分起正常營運。",3,集保公開資料測試,
系統停止營運的話，被停止的交割作業會怎麼樣？,"第 四 條  本系統停止營運時，全體票券商及清算交割銀行之交割作業
停止運作，當日所有作業均順延至次營業日辦理。",3,集保公開資料測試,
因天災放假所順延辦理之兌償作業改如何辦理補息作業？,"第 八 條  因天然災害或臨時放假日致順延辦理之兌償作業及附條件交
易履約交割作業，本系統之補息作業依下列方式辦理： 
一、可轉讓銀行定期存單之兌償作業，由原發行銀行，依票
載利率及延後天數辦理補息；其他短期票券之兌償作業
不予補息。 
二、附條件交易履約交割作業，由原承作之票券商，依原承
作利率與延後天數辦理補息。",3,集保公開資料測試,
如何辦理更改劃撥帳戶基本資料？,"第 六 條  票券商向本公司申請異動其劃撥帳戶基本資料者，得以下列
方式之一辦理： 
一、 透過票券保管結算交割系統(以下稱票券系統)通知本公司。 
二、 填具「保管劃撥帳戶開立／銷戶／異動申請書」送交本公司。",3,集保公開資料測試,
請告訴我票券商辦理其持有之短期票券退票重行提示的作業方式,"第 六十 條  票券商辦理其持有之短期票券退票重行提示作業方式如下： 
一、票券商應填具「票券商退票重行提示申請書」，並檢具其退
票實券與退票理由單，或債權證明書與經提示而不獲付款證
明文件，向實券保管銀行辦理其短期票券之退票重行提示作
業。 
二、實券保管銀行完成短期票券退票重行提示作業，將兌償款項
扣除相關費用後，匯入票券商之指定帳戶。如仍未能完成兌
償，實券保管銀行辦理退票作業，票券商準用第五十五條規
定領回退票實券與退票理由單，或第五十六條之規定領回債
權證明書與經提示而不獲付款證明文件。",3,集保公開資料測試,
基於商品交易所產生，且經受款人背書之本票或匯票之發行登錄，適用短期票券發行登錄集中保管帳簿劃撥作業辦法嗎？,"第 3 條
基於商品交易或勞務提供而產生，且經受款人背書之本票或匯票之發行登錄，不適用本辦法。",3,集保公開資料測試,
集中保管機構指的是什麼？,"一、集中保管機構：指短期票券集中保管結算機構許可及管理辦法所規定之短期票券集中保管結
算機構。",3,集保公開資料測試,
發行登記形式短期票券要怎麼辦理發行登錄？,發行人發行登記形式短期票券，應委託票券商向集中保管機構開設發行登錄帳戶，辦理發行登錄。,3,集保公開資料測試,
參加人向集中保管機構申請開設發行登錄帳戶需要哪些文件？,"第 8 條
參加人向集中保管機構申請開設發行登錄帳戶或劃撥帳戶，應檢具開戶申請書、印鑑及相關書件。",3,集保公開資料測試,
在什麼情況下，集中保管機構可以註銷帳戶之使用？,"第 12 條
參加人有下列情事之一者，集中保管機構得註銷其帳戶或停止其帳戶之使用：
一、喪失參加人之身分者。
二、有清算或解散之情事者。
三、經主管機關勒令停業者。",3,集保公開資料測試,
投資人可以委託清算交割銀行辦理短期票券買賣過程中的交割確認事宜嗎？,投資人應由本人或委託清算交割銀行辦理短期票券買賣之交割確認事宜。,3,集保公開資料測試,
短期票券發行登錄集中保管帳簿劃撥作業辦法第38條的內容是什麼？,"第 38 條
1   票券商或清算交割銀行辦理短期票券不提示兌償，應向集中保管機構辦理之。
2   投資人辦理前項不提示兌償，應委託清算交割銀行向集中保管機構辦理之。
3   前二項不提示兌償，集中保管機構應依不提示兌償數額，自票券商帳簿自有部位、清算交割銀行帳簿自有部位或清算交割銀行帳簿投資人自有部位，分別撥入各該帳簿之限制性部位或投資人限制性部位。
4   集中保管機構完成前項撥入清算交割銀行帳簿投資人限制性部位，應即通知清算交割銀行於投資
人帳簿限制性部位，記載不提示兌償數額。",4,集保公開資料測試,
短期票券集中保管結算機構許可及管理辦法提到的參加人指的是誰？,"本辦法稱參加人，指於短期票券集中保管結算機構開設保管劃撥帳戶或發行登錄帳戶之票券商、
清算交割銀行及其他經主管機關核准者。",3,集保公開資料測試,
設立短期票券集中保管結算機構需要準備哪些文件？,"第 10 條
短期票券集中保管結算機構之設立，發起人應檢具下列書件各三份，向主管機關申請許可：
一、短期票券集中保管結算機構設立許可申請書。
二、營業計畫書：載明業務之範圍、業務之原則與方針及具體執行之方法（包括保管短期票券之
場地及設備、短期票券之保管、發行登錄、結算、交割、到期提示、兌償作業與其帳簿劃撥
及電腦規劃事項、短期票券之進出管制及庫存管理、系統設備概況、網路架構、預定收費標
準、內部組織分工、人力配置、人員招募培訓、業務發展計畫、未來三年財務預測及系統備
援計畫）。
三、發起人名冊及證明文件。
四、發起人會議紀錄。
五、發起人無第四十二條第一項各款所列情事之書面聲明。
六、發起人依第十一條規定開設專戶存儲股款之證明。
七、預定總經理、副總經理之資格證明文件。
八、公司章程，應含董事會之職責及其與經理部門職權之劃分。
九、會計師及律師之審查意見。
十、其他經主管機關規定應提出之文件。",3,集保公開資料測試,
若行為能力受到限制，是否能擔任短期票券集中保管結算機構之發起人或負責人？,"短期票券集中保管結算機構之發起人及負責人，不得有下列情事之一：
一、無行為能力或限制行為能力。",3,集保公開資料測試,
